"ID","PDM_Type","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","pam_cluster","pam_cluster"
91,"Design-Bid-Build",15,3,4,3,4,4,5,3,1,1,3,2,1,2,2,4,3,2,2,1,2,1,1,5,5,1,6,6
92,"Design-Bid-Build",4,2,4,2,4,5,4,4,4,4,4,3,3,2,3,4,4,4,4,5,3,3,3,3,2,3,2,2
93,"Design-Bid-Build",10,1,4,2,5,4,4,4,5,4,4,3,3,3,3,5,4,5,4,4,5,4,4,5,5,5,2,2
94,"Design-Build",9,1,3,2,4,3,3,4,4,4,4,4,2,2,4,3,4,2,4,4,5,4,3,3,3,3,1,1
95,"Design-Build",20,3,15,4,4,3,3,3,4,3,3,3,4,4,3,2,2,3,3,4,4,4,4,3,4,1,4,4
96,"Design-Build",5,3,3,3,3,3,4,4,4,4,3,4,1,1,4,3,4,5,3,4,5,4,4,4,1,2,2,2
97,"Design-Build",5,1,2,2,4,3,4,4,4,5,4,4,3,4,4,4,4,3,3,4,4,4,2,4,2,4,2,2
98,"Design-Bid-Build",20,1,3,4,1,2,4,4,2,2,4,2,4,4,1,4,2,2,1,2,2,1,2,4,4,4,6,6
99,"Design-Bid-Build",5,3,4,3,4,2,2,2,4,5,4,4,2,2,5,3,4,4,2,4,2,2,2,3,3,5,2,2
100,"Progressive Design-Build",20,2,3,3,4,4,3,3,4,4,4,4,1,1,4,4,4,3,4,4,3,2,4,4,2,4,2,2
101,"Design-Build",10,1,2,2,4,4,3,3,4,4,4,5,2,2,5,4,4,4,3,4,4,2,1,4,2,4,2,2
102,"Design-Build",20,1,8,3,4,1,2,2,2,4,2,2,3,3,3,4,2,5,1,4,2,4,2,2,1,3,4,4
103,"Design-Build",40,2,5,3,4,4,5,5,4,3,3,4,1,1,2,4,4,4,4,4,4,4,4,3,1,5,2,2
104,"Design-Bid-Build",25,1,6,4,3,4,3,3,4,4,4,4,2,3,3,4,4,3,3,3,2,2,2,3,4,4,4,4
105,"Design-Build",20,1,8,6,3,4,3,3,4,3,3,2,3,1,3,4,4,4,4,4,4,2,2,2,4,3,4,4
106,"Design-Build",40,2,3,3,2,1,2,1,2,4,4,2,2,3,2,4,2,2,3,4,2,2,2,3,2,4,6,6
107,"Design-Build",40,3,5,5,2,1,4,4,2,3,4,4,4,3,2,5,4,4,3,4,3,2,4,2,2,3,4,4
108,"Design-Bid-Build",12,1,4,5,5,3,4,2,4,5,3,4,1,1,4,2,4,4,3,5,4,4,3,4,4,4,2,2
109,"Design-Build",100,25,1,5,3,2,2,2,3,4,4,4,4,5,3,5,5,4,3,4,5,5,4,3,1,5,2,2
