ORG_Size_Employees,ORG_Complexity_Locations,ORG_Complexity_Departments,ORG_Hierarchy_Layers,DEC_Authority_Dispersion,DEC_Authority_Delegation,DEC_Process_InformalCommunication,DEC_Process_InformalProcedures,STY_Analytical_DataDriven,STY_Participative_Inclusion,STY_Participative_Relational,STY_Organic_InformalStructure,STY_Organic_Adaptability,STY_Directive_Threats,STY_Directive_Compliance,CUL_Authority_Hierarchical,CUL_Integration_Vision,CUL_Integration_Systematic,CUL_Innovation_Experimental,CUL_Collaboration_Stakeholder,FLEX_Cognitive_Receptivity,FLEX_Behavioral_Adaptability,RISK_Appetite_Investment,ENV_Context_Growth,ENV_Context_Volatility,ENV_Context_Stability,PDM_Selected,PDM_Experience_DBB,PDM_Experience_DB,PDM_Experience_PDB,PDM_Experience_CMAR,PDM_Experience_IPD,Cluster,Membership_Score
20,3,6,3,4,4,4,4,2,4,2,2,4,1,1,4,4,4,4,4,2,2,1,3,1,4,Design-Bid-Build,5,5,3,3,2,1,0.5070339414457948
15,2,5,4,4,3,4,4,5,4,4,4,4,1,1,3,4,3,4,5,4,4,3,5,4,4,Construction Manager @ Risk,5,5,1,5,2,2,0.5269853846523963
25,1,3,1,5,4,4,2,4,3,4,4,4,1,1,4,5,5,4,5,5,4,4,5,1,5,Design-Build,5,5,3,5,3,2,0.5224696923037933
9,2,5,4,4,4,4,3,4,3,4,4,3,3,3,2,4,4,3,4,4,3,2,4,2,4,Design-Build,5,5,5,5,5,1,0.5055539629182103
3,3,4,4,5,3,3,5,4,3,5,5,4,5,4,4,4,5,5,5,3,2,5,5,4,3,Design-Bid-Build,5,5,1,5,3,2,0.5031740251452277
20,1,6,4,2,2,4,4,2,3,3,2,2,3,3,4,2,2,2,2,1,1,2,4,3,3,Design-Build,5,3,1,3,1,1,0.5241076865503853
20,9,17,3,4,3,4,2,3,4,2,3,5,4,4,4,4,5,2,2,4,4,4,2,3,2,Design-Build,5,3,3,3,2,1,0.5111642403821436
100,4,12,4,4,4,4,4,2,4,4,4,2,3,2,2,2,2,2,4,4,3,2,3,2,3,Design-Build,5,5,1,5,5,1,0.5146894735659794
6,2,5,2,4,4,2,2,4,4,3,4,4,2,3,3,3,4,4,4,4,3,3,4,3,4,Construction Manager @ Risk,5,5,2,3,3,1,0.5024124267314025
10,1,5,5,4,4,4,4,3,5,4,3,4,2,1,4,4,4,4,4,4,4,3,4,2,4,Design-Build,5,5,2,5,2,2,0.5266628639868509
30,2,3,3,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Design-Bid-Build,5,1,1,1,1,2,0.5100053445367173
3700,125,1,2,1,1,1,1,1,1,1,4,1,5,5,5,1,5,1,1,1,1,1,3,5,4,Design-Build,5,5,5,2,2,1,0.5066389362508884
5,2,4,3,4,3,4,4,2,3,5,4,4,2,2,3,4,4,2,4,4,4,3,4,2,4,Progressive Design-Build,5,3,5,3,2,2,0.5082920474471786
20,1,3,1,2,4,2,2,2,4,4,4,3,1,2,4,4,4,4,4,5,4,3,5,3,3,Design-Bid-Build,5,5,3,3,1,2,0.5044998484437678
100,1,5,2,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,Design-Build,3,3,1,2,1,2,0.5084163539957346
2,1,2,3,1,1,3,3,3,2,2,4,2,1,2,3,2,2,3,4,3,4,1,2,2,2,Design-Bid-Build,5,5,2,2,3,1,0.5176509838539474
6,2,5,1,5,4,5,5,5,5,5,5,4,1,4,4,5,4,4,5,5,3,4,5,2,5,Design-Build,5,3,2,2,2,2,0.5237108270215765
5,2,3,2,3,2,4,4,2,3,3,4,4,2,2,4,3,3,3,4,4,3,3,4,3,2,Design-Bid-Build,5,3,3,3,1,1,0.5185405133672601
8,2,2,2,4,4,4,4,4,4,4,4,5,2,2,2,4,4,5,5,4,3,2,4,4,3,Design-Build,3,5,3,2,1,2,0.5213808809214635
3,1,4,3,5,4,3,4,3,4,4,4,4,4,3,4,2,4,3,2,4,2,2,4,2,4,Design-Build,5,5,2,5,1,1,0.5134602430942444
6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Construction Manager @ Risk,5,3,3,5,3,1,0.5530799909057224
10,30,6,3,3,2,2,1,2,2,3,2,2,1,1,2,2,4,1,2,1,2,2,4,2,5,Design-Build,5,5,2,3,2,1,0.5165622139314362
3,1,2,2,4,4,2,5,4,4,5,4,4,3,1,3,2,2,4,5,4,3,5,5,1,3,Design-Bid-Build,5,1,1,1,1,2,0.5109689633725549
5,1,10,3,4,5,5,5,4,3,5,5,4,1,1,3,5,3,5,5,5,5,3,5,1,4,Design-Build,5,5,2,2,1,2,0.5287532459764537
6,2,4,3,3,3,4,4,3,4,2,4,2,2,4,4,2,4,3,2,2,4,2,3,2,4,Construction Manager @ Risk,5,5,3,5,2,1,0.5221508333810116
3,1,2,2,4,4,3,3,4,5,5,4,5,4,4,4,3,3,4,4,5,4,4,4,2,4,Design-Build,5,3,2,2,2,2,0.5132588309398954
25,2,3,3,2,2,3,4,3,2,3,2,2,4,2,4,2,2,3,4,2,2,3,4,3,3,Design-Bid-Build,5,3,3,3,2,1,0.5249076601008799
30,1,3,5,2,4,4,4,1,2,1,4,1,4,4,2,2,2,1,1,1,1,1,2,4,2,Progressive Design-Build,2,5,3,5,2,1,0.5169896751297789
10,1,6,3,4,2,2,5,4,4,4,4,5,1,4,4,4,4,4,4,4,3,3,5,1,5,Design-Build,5,3,1,1,1,2,0.5105671576851752
16,1,1,3,3,2,2,2,4,3,4,4,4,5,5,5,3,4,4,3,4,1,1,1,1,4,Design-Build,5,3,2,3,2,1,0.5140584420461258
10,2,5,3,4,3,4,4,3,4,4,4,4,1,4,3,4,4,4,4,4,3,3,3,1,4,Design-Build,5,5,2,3,1,2,0.5115388680999813
5,2,3,2,4,3,3,3,3,4,4,4,3,2,2,2,4,4,4,5,4,4,3,4,1,4,Design-Build,5,3,1,3,1,2,0.51929123531249
10,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,Design-Bid-Build,5,3,3,3,3,1,0.5041586104283089
50,2,4,2,4,4,4,4,5,5,5,5,5,4,4,5,5,4,3,4,5,4,4,4,3,4,Progressive Design-Build,5,5,3,3,2,2,0.5168323688546841
20,2,3,5,4,2,3,3,4,4,3,4,2,3,3,4,2,2,2,2,3,2,3,4,2,4,Design-Build,5,5,2,3,2,1,0.5245957432630708
10,5,5,3,3,2,2,3,4,2,2,3,3,3,3,4,3,3,2,3,2,2,4,2,2,2,Design-Build,5,5,2,1,1,1,0.526589485958274
20,2,5,3,4,3,2,2,3,4,3,3,2,2,4,3,3,3,4,3,3,2,2,4,2,2,Progressive Design-Build,5,5,5,2,2,1,0.5250858289834952
8,5,6,2,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,2,3,3,4,Design-Bid-Build,5,3,2,1,1,2,0.530956849769826
15,3,4,3,4,4,5,3,2,1,1,3,2,1,2,4,3,2,2,1,2,1,1,5,5,1,Design-Bid-Build,5,3,1,1,1,1,0.5135200969606426
4,2,4,2,4,5,4,4,3,4,4,4,3,3,2,4,4,4,4,5,3,3,3,3,2,3,Design-Bid-Build,5,3,2,2,2,2,0.5102182383028053
10,1,4,2,5,4,4,4,3,5,4,4,3,3,3,5,4,5,4,4,5,4,4,5,5,5,Design-Bid-Build,3,3,2,3,3,2,0.5127125533647593
9,1,3,2,4,3,3,4,4,4,4,4,4,2,2,3,4,2,4,4,5,4,3,3,3,3,Design-Build,5,3,1,1,1,2,0.519135231922774
20,3,15,4,4,3,3,3,3,4,3,3,3,4,4,2,2,3,3,4,4,4,4,3,4,1,Design-Build,5,5,1,5,1,1,0.5145094577435068
5,3,3,3,3,3,4,4,4,4,4,3,4,1,1,3,4,5,3,4,5,4,4,4,1,2,Design-Build,5,5,3,5,1,2,0.5177761851257374
5,1,2,2,4,3,4,4,4,4,5,4,4,3,4,4,4,3,3,4,4,4,2,4,2,4,Design-Build,5,5,5,5,5,2,0.5084666042729201
20,1,3,4,1,2,4,4,1,2,2,4,2,4,4,4,2,2,1,2,2,1,2,4,4,4,Design-Bid-Build,5,5,3,2,1,1,0.5200121961989931
5,3,4,3,4,2,2,2,5,4,5,4,4,2,2,3,4,4,2,4,2,2,2,3,3,5,Design-Bid-Build,5,3,1,3,2,1,0.5107032713900002
20,2,3,3,4,4,3,3,4,4,4,4,4,1,1,4,4,3,4,4,3,2,4,4,2,4,Progressive Design-Build,3,2,3,2,1,2,0.51407430679997
10,1,2,2,4,4,3,3,5,4,4,4,5,2,2,4,4,4,3,4,4,2,1,4,2,4,Design-Build,5,3,2,5,2,2,0.5063707818703359
20,1,8,3,4,1,2,2,3,2,4,2,2,3,3,4,2,5,1,4,2,4,2,2,1,3,Design-Build,3,3,2,2,1,1,0.5190808711827855
40,2,5,3,4,4,5,5,2,4,3,3,4,1,1,4,4,4,4,4,4,4,4,3,1,5,Design-Build,5,5,5,5,1,2,0.5164932060588321
25,1,6,4,3,4,3,3,3,4,4,4,4,2,3,4,4,3,3,3,2,2,2,3,4,4,Design-Bid-Build,5,3,2,2,2,1,0.5257301327376322
20,1,8,6,3,4,3,3,3,4,3,3,2,3,1,4,4,4,4,4,4,2,2,2,4,3,Design-Build,5,3,3,2,3,1,0.5146714626124353
40,2,3,3,2,1,2,1,2,2,4,4,2,2,3,4,2,2,3,4,2,2,2,3,2,4,Design-Build,5,5,2,2,1,1,0.522265188492722
40,3,5,5,2,1,4,4,2,2,3,4,4,4,3,5,4,4,3,4,3,2,4,2,2,3,Design-Build,5,5,3,3,3,1,0.517959213760565
12,1,4,5,5,3,4,2,4,4,5,3,4,1,1,2,4,4,3,5,4,4,3,4,4,4,Design-Bid-Build,5,5,3,3,2,2,0.5119857922293437
100,25,1,5,3,2,2,2,3,3,4,4,4,4,5,5,5,4,3,4,5,5,4,3,1,5,Design-Build,5,5,3,2,2,1,0.503844363960501
