"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","cluster"
6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
10,30,6,3,2.5,1.5,2,2.5,2,1,2,2,4,1,2,1,2,2,4,2,5,1
3,1,2,2,4,3.5,4,4.5,4,2,3,2,2,4,5,4,3,5,5,1,3,2
5,1,10,3,4.5,5,4,4,4.5,1,3,5,3,5,5,5,5,3,5,1,4,2
6,2,4,3,3,4,3,3,3,3,4,2,4,3,2,2,4,2,3,2,4,1
3,1,2,2,4,3,4,5,4.5,4,4,3,3,4,4,5,4,4,4,2,4,2
25,2,3,3,2,3.5,3,2.5,2,3,4,2,2,3,4,2,2,3,4,3,3,1
30,1,3,5,3,4,1,1.5,2.5,4,2,2,2,1,1,1,1,1,2,4,2,1
10,1,6,3,3,3.5,4,4,4.5,2.5,4,4,4,4,4,4,3,3,5,1,5,2
16,1,1,3,2.5,2,4,3.5,4,5,5,3,4,4,3,4,1,1,1,1,4,1
10,2,5,3,3.5,4,3,4,4,2.5,3,4,4,4,4,4,3,3,3,1,4,2
5,2,3,2,3.5,3,3,4,3.5,2,2,4,4,4,5,4,4,3,4,1,4,2
10,2,3,3,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,2
50,2,4,2,4,4,5,5,5,4,5,5,4,3,4,5,4,4,4,3,4,2
20,2,3,5,3,3,4,3.5,3,3,4,2,2,2,2,3,2,3,4,2,4,1
10,5,5,3,2.5,2.5,4,2,3,3,4,3,3,2,3,2,2,4,2,2,2,1
20,2,5,3,3.5,2,3,3.5,2.5,3,3,3,3,4,3,3,2,2,4,2,2,1
8,5,6,2,4,4,4,4,4,1,4,4,4,4,4,4,4,2,3,3,4,2
15,3,4,3,4,4,2,1,2.5,1.5,4,3,2,2,1,2,1,1,5,5,1,1
4,2,4,2,4.5,4,3,4,3.5,2.5,4,4,4,4,5,3,3,3,3,2,3,2
10,1,4,2,4.5,4,3,4.5,3.5,3,5,4,5,4,4,5,4,4,5,5,5,2
