"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PC1","PC2","PC3","UMAP1","UMAP2"
43,20,5,10,2,3,4.5,3,2.5,3,2,2,3,3,2,4,4,4,4,3,4,3,1.55412457733537,0.0955715273055118,-1.38137435438727,0.611466080726577,-2.68684740639886
44,4,1,8,3,3,4,4,4,3.5,2,2,4,3,4,4,5,4,4,5,2,5,-1.50881181361292,-1.57841034534196,-0.0677903008340104,0.839663588158787,2.07502964995333
45,20,1,10,6,4,4,4,4,4,1,2,5,5,5,5,5,5,4,5,1,4,-3.48594006767902,-1.62854995971835,0.23716838516093,-0.506395093164902,3.07385467257176
46,15,2,4,4,3,4,4,2.5,4,2.5,4,4,4,4,4,2,3,2,4,2,4,0.532401384118823,0.471331392470628,0.400599018535936,0.628182384586288,0.299775353641609
47,75,1,20,3,4,3.5,4,4,5,1,3,5,3,4,5,5,4,2.95327102803738,5,3,4,-2.58658193595608,-0.842080752701522,-0.672920070915518,-0.43514796394492,1.99807668055908
48,20,1,6,3,4,3.5,4,3,3,2,2,3,4,3,4,2,3,1,3,3,4,1.70526598828174,-0.218031905738732,-0.806335709332829,0.91740462277252,-0.287623367814775
49,8,2,2,4,3.5,3,4,4.5,4.5,1,2,4,4,5,5,4,4,4,3,3,4,-1.94184613012459,-0.835409716166892,-0.751412873540277,0.014518887321895,1.65105336632484
50,12,1,5,3,2.5,4,4,4.5,5,1,4,5,3,4,4,5,2,3,4,2,4,-1.52511337636035,-0.725217486120621,-0.035081120628039,0.734301089255975,2.32298676030638
51,20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-4.96376203204962,3.92120338456887,0.38155628806269,-1.44817680492356,1.50835356106669
52,100,2,30,5,4,2,4,5,3.5,2,1,5,5,4,5,5,2,1,3,1,5,-1.20151915551248,-2.13121072948664,0.87243482718159,0.836917914044842,0.508457951389702
53,20,3,6,3,4,4,2,3,3,1,4,4,4,4,4,2,2,1,3,1,4,1.4595497998416,-0.83808670351045,0.223289687582406,0.473877261134699,0.328728714591099
54,15,2,5,4,3.5,4,5,4,4,1,3,4,3,4,5,4,4,3,5,4,4,-1.78518666617245,-0.343191733754729,-1.38860946080733,-0.501514627156945,1.64641212060612
55,25,1,3,1,4.5,3,4,3.5,4,1,4,5,5,4,5,5,4,4,5,1,5,-2.8838411111382,-0.956246870300003,1.78008747145463,-0.365226046615198,3.00491018181894
56,9,2,5,4,4,3.5,4,3.5,3.5,3,2,4,4,3,4,4,3,2,4,2,4,0.0431103759551633,-0.329474412788598,0.0113578518412605,0.878101243752592,0.152489268805369
57,3,3,4,4,4,4,4,4,4.5,4.5,4,4,5,5,5,3,2,5,5,4,3,-1.80095101026779,3.06083157776172,-0.686056387127698,-1.47159071559883,1.32959045291106
58,20,1,6,4,2,4,2,3,2,3,4,2,2,2,2,1,1,2,4,3,3,5.2011111859448,0.4414076259779,-0.814852784512143,0.633163904375358,-3.74495505866293
59,20,9,17,3,3.5,3,3,3,4,4,4,4,5,2,2,4,4,4,2,3,2,1.63215749834189,2.57604545859662,1.25087080930495,0.201528708779441,-2.61421710309512
60,100,4,12,4,4,4,2,4,3,2.5,2,2,2,2,4,4,3,2,3,2,3,2.11075860021049,-1.04172189465715,-1.29051122748597,0.377750936122359,-2.61658026186101
61,6,2,5,2,4,2,4,3.5,4,2.5,3,3,4,4,4,4,3,3,4,3,4,-0.0189605482482053,0.12232333822722,0.330962263248445,0.590100438720365,-0.732984225292053
62,10,1,5,5,4,4,3,4.5,3.5,1.5,4,4,4,4,4,4,4,3,4,2,4,-1.10370847412516,-0.292416306513926,0.352577965056929,-0.00192860905080039,1.08085771844028
63,30,2,3,3,4.5,5,5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,-4.24612547044424,3.876054277023,0.648556952231263,-1.35795468237527,1.53085501193842
65,5,3.59047619047619,4,3,3.5,4,2,4,4,2,3,4,4,2,4,4,4,3,4,2,4,-0.00373521555927605,-0.599075773223637,0.615868514151109,0.187306412438395,0.787165670343356
66,20,1,3,1,3,2,2,4,3.5,1.5,4,4,4,4,4,5,4,3,5,3,3,-0.173194271113032,-0.680533858412267,0.929804453458941,0.0681421895300274,-1.07582063770981
67,100,1,5,2,4,5,5,5,5,5,5,4,4,5,5,3.78504672897196,3.39252336448598,5,3,4,2,-2.57790626807589,4.20600385191258,-1.14241783981013,-1.63468131254375,1.2274106669301
68,2,1,2,3,1,3,3,2,3,1.5,3,2,2,3,4,3,4,1,2,2,2,3.95149904813824,-1.49421719848811,-0.294849895921554,0.205072478114822,-3.55087071486725
69,6,2,6.90476190476191,1,4.5,5,5,5,4.5,2.5,4,5,4,4,5,5,3,4,5,2,5,-3.81209761305913,0.576836483666025,0.0816046290568458,-1.57120416906404,2.04317109132085
70,5,2,3,2,2.5,4,2,3,4,2,4,3,3,3,4,4,3,3,4,3,2,1.43635718942033,0.271059157422033,-0.595602689007235,0.0488663405350453,-2.02352404246017
71,8,2,2,2,4,4,4,4,4.5,2,2,4,4,5,5,4,3,2,4,4,3,-1.41871873165064,0.313810907540557,-1.95902230418319,-0.207416590917499,1.52060285271395
72,3,1,4,3,4.5,3.5,3,4,4,3.5,4,2,4,3,2,4,2,2,4,2,4,1.29249265084222,1.00266933359313,0.710143884362414,-0.738218176641696,-2.28651300733924
73,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.41200311704805,0.419269115387547,-0.275606665234477,0.531257339427176,-2.54436590147975
74,10,30,6,3,2.5,1.5,2,2.5,2,1,2,2,4,1,2,1,2,2,4,2,5,5.08376831954276,-2.16774981156498,1.22013213974379,-0.130566606723633,-3.43089623857743
75,3,1,2,2,4,3.5,4,4.5,4,2,3,2,2,4,5,4,3,5,5,1,3,-1.05286649134244,-1.03939312663736,-1.19745165830006,1.38001642171747,2.36672425124094
76,5,1,10,3,4.5,5,4,4,4.5,1,3,5,3,5,5,5,5,3,5,1,4,-3.54939521966879,-1.43089916429533,-0.676209713432956,-0.954421336099193,2.93676000501205
77,6,2,4,3,3,4,3,3,3,3,4,2,4,3,2,2,4,2,3,2,4,2.66723842161766,0.647197984048215,0.977852500586605,-0.413495926711702,-3.19003205593063
78,3,1,2,2,4,3,4,5,4.5,4,4,3,3,4,4,5,4,4,4,2,4,-1.52012563737796,0.760030185443752,0.750619888001061,-1.08280263989867,0.476244052301187
79,25,2,3,3,2,3.5,3,2.5,2,3,4,2,2,3,4,2,2,3,4,3,3,3.56383122659878,0.234280422841659,-0.65675724644824,0.238070651001082,-3.66209780807976
80,30,1,3,5,3,4,1,1.5,2.5,4,2,2,2,1,1,1,1,1,2,4,2,7.21521076940521,1.27103636847141,-1.93280497207288,0.581083290394116,-3.93532940160489
81,10,1,6,3,3,3.5,4,4,4.5,2.5,4,4,4,4,4,4,3,3,5,1,5,-1.32036495116567,-0.535540622467632,1.48546993555302,0.913988989674808,1.7224306548948
82,16,1,1,3,2.5,2,4,3.5,4,5,5,3,4,4,3,4,1,1,1,1,4,2.34102625699723,1.47177371153067,2.5663475422555,-0.682222194889137,-2.0647588681411
83,10,2,5,3,3.5,4,3,4,4,2.5,3,4,4,4,4,4,3,3,3,1,4,-0.464367423032754,-0.442960835053227,0.480877365649542,0.361879453543955,0.900628792734494
84,5,2,3,2,3.5,3,3,4,3.5,2,2,4,4,4,5,4,4,3,4,1,4,-0.842969571644783,-1.71301572839356,0.458241079975918,0.52822673347781,1.24828832213513
85,10,2,3,3,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,0.0380824795814129,1.28329614235369,-0.745370509582788,0.102135703543849,-0.178714983999563
86,50,2,4,2,4,4,5,5,5,4,5,5,4,3,4,5,4,4,4,3,4,-2.65846138889328,2.36239077234345,1.00706442170995,-1.56187443240974,1.06842430038453
87,20,2,3,5,3,3,4,3.5,3,3,4,2,2,2,2,3,2,3,4,2,4,2.8410468601193,0.0915995619488614,0.330022373788073,-0.220477834317568,-3.7203424622252
88,10,5,5,3,2.5,2.5,4,2,3,3,4,3,3,2,3,2,2,4,2,2,2,3.72402292819735,1.11563733492315,0.234574731002599,0.198871283878499,-2.91155396732216
89,20,2,5,3,3.5,2,3,3.5,2.5,3,3,3,3,4,3,3,2,2,4,2,2,2.49526409271653,-0.189585237040142,-0.446913464022498,0.605327272126057,-3.18940077471192
90,8,5,6,2,4,4,4,4,4,1,4,4,4,4,4,4,4,2,3,3,4,-0.91175851197219,0.164093054400164,-0.0934035132264507,-0.259953362016288,0.556897713249687
91,15,3,4,3,4,4,2,1,2.5,1.5,4,3,2,2,1,2,1,1,5,5,1,5.24260745013304,1.36906166219139,-2.65180843410493,0.78479456808896,-3.90237645708093
92,4,2,4,2,4.5,4,3,4,3.5,2.5,4,4,4,4,5,3,3,3,3,2,3,-0.421136516675774,0.808689081218606,-0.346271855119043,0.273183338090312,0.333769429893288
93,10,1,4,2,4.5,4,3,4.5,3.5,3,5,4,5,4,4,5,4,4,5,5,5,-2.0296397289686,2.14594044908619,0.808252155068721,-0.727854920128503,1.2288440987868
94,9,1,3,2,3.5,3.5,4,4,4,2,3,4,2,4,4,5,4,3,3,3,3,-0.527127228552848,-0.253898928998755,-1.08028742174045,-0.464066268967648,0.138723938637296
95,20,3,15,4,3.5,3,3,3.5,3,4,2,2,3,3,4,4,4,4,3,4,1,1.86319274905488,1.25675864471472,-1.65133537241326,-0.114039707740363,-2.71210658806039
96,5,3,3,3,3,4,4,4,3.5,1,3,4,5,3,4,5,4,4,4,1,2,-0.92424472021573,-0.732170143905487,0.301479451875099,-0.252169636906698,2.88365397553245
97,5,1,2,2,3.5,4,4,4.5,4,3.5,4,4,3,3,4,4,4,2,4,2,4,-0.575635398976195,0.46141550072184,0.54638395346939,-0.894659496255854,0.43404617965554
98,20,1,3,4,1.5,4,1,2,3,4,4,2,2,1,2,2,1,2,4,4,4,5.60798887137447,0.971065099914587,0.0547961949721206,0.459637231958472,-3.92377076551277
99,5,3,4,3,3,2,5,4.5,4,2,3,4,4,2,4,2,2,2,3,3,5,0.940757324411763,-0.0760062381676759,0.641724740693922,0.922482018273355,-0.895781303427942
100,20,2,3,3,4,3,4,4,4,1,4,4,3,4,4,3,2,4,4,2,4,-0.502622837812124,-0.358674374952075,-0.363661828398514,1.39139771647663,1.34413715360024
101,10,1,2,2,4,3,5,4,4.5,2,4,4,4,3,4,4,2,1,4,2,4,-0.375972789661652,0.151575574623625,0.545606392832886,0.813824630075757,-0.260347352628662
102,20,1,8,3,2.5,2,3,3,2,3,4,2,5,1,4,2,4,2,2,1,3,3.82628839218941,0.0317649498253418,2.47900643339411,-0.218985349766622,-3.22530914044191
103,40,3.59047619047619,6.90476190476191,3.15238095238095,4,5,2,3.5,3.5,1,4,4,4,4,4,4,4,4,3,1,5,-0.931025846562112,-0.814150813202892,0.793349825657016,0.394310162196948,1.51029964032032
104,25,1,6,4,3.5,3,3,4,4,2.5,4,4,3,3,3,2,2,2,3,4,4,1.6923002428835,1.10808917551261,-0.400945663006893,0.884595154112936,-1.82053235426886
105,20,1,8,6,3.5,3,3,3.5,2.5,2,4,4,4,4,4,4,2,2,2,4,3,1.49390953398191,0.927428145967097,-0.312556717189706,0.258924535214902,-2.40869450746833
106,40,2,3,3,1.5,1.5,2,3,3,2.5,4,2,2,3,4,2,2,2,3,2,4,4.01652527777553,-1.16803666590008,1.01273218652614,-0.0886406406040884,-3.56799665743676
107,40,3,5,5,1.5,4,2,2.5,4,3.5,5,4,4,3,4,3,2,4,2,2,3,2.04699310836837,1.48093026066009,1.31071731035938,-0.225331290618599,-1.97414315229911
108,12,1,4,5,4,3,4,4.5,3.5,1,2,4,4,3,5,4,4,3,4,4,4,-1.02282751875766,-0.674141452483225,-0.881296581402449,-0.155854541781247,1.37993020253031
109,100,25,1,5,2.5,2,3,3.5,4,4.5,5,5,4,3,4,5,5,4,3,1,5,-0.516965731236231,0.500641097689882,3.94253390456171,-0.928760375656813,-0.46953034663119
