"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Style_Technocracy","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster"
68,2,1,2,3,1,1,3,3,2,2,4,2,1,2,3,3,2,2,3,4,3,4,1,2,2,2,"Design-Bid-Build",5
69,6,2,5,1,5,4,5,5,5,5,5,4,1,4,5,4,5,4,4,5,5,3,4,5,2,5,"Design-Build",3
70,5,2,3,2,3,2,4,4,3,3,4,4,2,2,2,4,3,3,3,4,4,3,3,4,3,2,"Design-Bid-Build",1
71,8,2,2,2,4,4,4,4,4,4,4,5,2,2,4,2,4,4,5,5,4,3,2,4,4,3,"Design-Build",4
72,3,1,4,3,5,4,3,4,4,4,4,4,4,3,3,4,2,4,3,2,4,2,2,4,2,4,"Design-Build",1
73,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk",5
74,10,30,6,3,3,2,2,1,2,3,2,2,1,1,2,2,2,4,1,2,1,2,2,4,2,5,"Design-Build",2
75,3,1,2,2,4,4,2,5,4,5,4,4,3,1,4,3,2,2,4,5,4,3,5,5,1,3,"Design-Bid-Build",7
76,5,1,10,3,4,5,5,5,3,5,5,4,1,1,4,3,5,3,5,5,5,5,3,5,1,4,"Design-Build",3
77,6,2,4,3,3,3,4,4,4,2,4,2,2,4,3,4,2,4,3,2,2,4,2,3,2,4,"Construction Manager @ Risk",1
78,3,1,2,2,4,4,3,3,5,5,4,5,4,4,4,4,3,3,4,4,5,4,4,4,2,4,"Design-Build",4
79,25,2,3,3,2,2,3,4,2,3,2,2,4,2,3,4,2,2,3,4,2,2,3,4,3,3,"Design-Bid-Build",2
80,30,1,3,5,2,4,4,4,2,1,4,1,4,4,1,2,2,2,1,1,1,1,1,2,4,2,"Progressive Design-Build",2
81,10,1,6,3,4,2,2,5,4,4,4,5,1,4,4,4,4,4,4,4,4,3,3,5,1,5,"Design-Build",7
82,16,1,1,3,3,2,2,2,3,4,4,4,5,5,4,5,3,4,4,3,4,1,1,1,1,4,"Design-Build",7
83,10,2,5,3,4,3,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,3,3,3,1,4,"Design-Build",7
84,5,2,3,2,4,3,3,3,4,4,4,3,2,2,3,2,4,4,4,5,4,4,3,4,1,4,"Design-Build",4
85,10,2,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,3,3,3,3,"Design-Bid-Build",1
86,50,2,4,2,4,4,4,4,5,5,5,5,4,4,5,5,5,4,3,4,5,4,4,4,3,4,"Progressive Design-Build",1
87,20,2,3,5,4,2,3,3,4,3,4,2,3,3,4,4,2,2,2,2,3,2,3,4,2,4,"Design-Build",5
88,10,5,5,3,3,2,2,3,2,2,3,3,3,3,4,4,3,3,2,3,2,2,4,2,2,2,"Design-Build",5
89,20,2,5,3,4,3,2,2,4,3,3,2,2,4,3,3,3,3,4,3,3,2,2,4,2,2,"Progressive Design-Build",5
90,8,5,6,2,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,3,3,4,"Design-Bid-Build",7
91,15,3,4,3,4,4,5,3,1,1,3,2,1,2,2,4,3,2,2,1,2,1,1,5,5,1,"Design-Bid-Build",2
92,4,2,4,2,4,5,4,4,4,4,4,3,3,2,3,4,4,4,4,5,3,3,3,3,2,3,"Design-Bid-Build",1
93,10,1,4,2,5,4,4,4,5,4,4,3,3,3,3,5,4,5,4,4,5,4,4,5,5,5,"Design-Bid-Build",1
94,9,1,3,2,4,3,3,4,4,4,4,4,2,2,4,3,4,2,4,4,5,4,3,3,3,3,"Design-Build",4
95,20,3,15,4,4,3,3,3,4,3,3,3,4,4,3,2,2,3,3,4,4,4,4,3,4,1,"Design-Build",5
96,5,3,3,3,3,3,4,4,4,4,3,4,1,1,4,3,4,5,3,4,5,4,4,4,1,2,"Design-Build",7
97,5,1,2,2,4,3,4,4,4,5,4,4,3,4,4,4,4,3,3,4,4,4,2,4,2,4,"Design-Build",7
98,20,1,3,4,1,2,4,4,2,2,4,2,4,4,1,4,2,2,1,2,2,1,2,4,4,4,"Design-Bid-Build",2
