"ID","Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization","Distribution_Formalization","Style_Technocracy","Style_Participation","Style_Organicity","Style_Coercion","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type","Cluster1","Cluster2","HardCluster"
83,10,2,5,3,3.5,4,3,4,4,2.5,3,4,4,4,4,4,3,3,3,1,4,"Design-Build",0.863219593793627,0.136780406206373,1
84,5,2,3,2,3.5,3,3,4,3.5,2,2,4,4,4,5,4,4,3,4,1,4,"Design-Build",0.863062278354937,0.136937721645063,1
85,10,2,3,3,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,"Design-Bid-Build",0.673859669333823,0.326140330666177,1
86,50,2,4,2,4,4,5,5,5,4,5,5,4,3,4,5,4,4,4,3,4,"Progressive Design-Build",0.755422753406132,0.244577246593868,1
87,20,2,3,5,3,3,4,3.5,3,3,4,2,2,2,2,3,2,3,4,2,4,"Design-Build",0.13240188107786,0.86759811892214,2
88,10,5,5,3,2.5,2.5,4,2,3,3,4,3,3,2,3,2,2,4,2,2,2,"Design-Build",0.117008692356114,0.882991307643886,2
89,20,2,5,3,3.5,2,3,3.5,2.5,3,3,3,3,4,3,3,2,2,4,2,2,"Progressive Design-Build",0.136231646359254,0.863768353640746,2
90,8,5,6,2,4,4,4,4,4,1,4,4,4,4,4,4,4,2,3,3,4,"Design-Bid-Build",0.886263730261364,0.113736269738636,1
91,15,3,4,3,4,4,2,1,2.5,1.5,4,3,2,2,1,2,1,1,5,5,1,"Design-Bid-Build",0.230918266120854,0.769081733879146,2
92,4,2,4,2,4.5,4,3,4,3.5,2.5,4,4,4,4,5,3,3,3,3,2,3,"Design-Bid-Build",0.777034462890871,0.222965537109129,1
93,10,1,4,2,4.5,4,3,4.5,3.5,3,5,4,5,4,4,5,4,4,5,5,5,"Design-Bid-Build",0.787591119408409,0.212408880591591,1
94,9,1,3,2,3.5,3.5,4,4,4,2,3,4,2,4,4,5,4,3,3,3,3,"Design-Build",0.814296824344179,0.185703175655821,1
95,20,3,15,4,3.5,3,3,3.5,3,4,2,2,3,3,4,4,4,4,3,4,1,"Design-Build",0.34193431330832,0.65806568669168,2
96,5,3,3,3,3,4,4,4,3.5,1,3,4,5,3,4,5,4,4,4,1,2,"Design-Build",0.776879056309631,0.223120943690369,1
97,5,1,2,2,3.5,4,4,4.5,4,3.5,4,4,3,3,4,4,4,2,4,2,4,"Design-Build",0.799223227172182,0.200776772827818,1
98,20,1,3,4,1.5,4,1,2,3,4,4,2,2,1,2,2,1,2,4,4,4,"Design-Bid-Build",0.153422159966822,0.846577840033177,2
99,5,3,4,3,3,2,5,4.5,4,2,3,4,4,2,4,2,2,2,3,3,5,"Design-Bid-Build",0.427186395091306,0.572813604908694,2
100,20,2,3,3,4,3,4,4,4,1,4,4,3,4,4,3,2,4,4,2,4,"Progressive Design-Build",0.764392419386365,0.235607580613635,1
101,10,1,2,2,4,3,5,4,4.5,2,4,4,4,3,4,4,2,1,4,2,4,"Design-Build",0.684383712430496,0.315616287569504,1
102,20,1,8,3,2.5,2,3,3,2,3,4,2,5,1,4,2,4,2,2,1,3,"Design-Build",0.188276712728979,0.811723287271021,2
103,40,2,5,3,4,5,2,3.5,3.5,1,4,4,4,4,4,4,4,4,3,1,5,"Design-Build",0.702854284051753,0.297145715948247,1
104,25,1,6,4,3.5,3,3,4,4,2.5,4,4,3,3,3,2,2,2,3,4,4,"Design-Bid-Build",0.169910184274895,0.830089815725105,2
105,20,1,8,6,3.5,3,3,3.5,2.5,2,4,4,4,4,4,4,2,2,2,4,3,"Design-Build",0.266222591353079,0.733777408646922,2
106,40,2,3,3,1.5,1.5,2,3,3,2.5,4,2,2,3,4,2,2,2,3,2,4,"Design-Build",0.156610547567141,0.843389452432859,2
107,40,3,5,5,1.5,4,2,2.5,4,3.5,5,4,4,3,4,3,2,4,2,2,3,"Design-Build",0.268224612559344,0.731775387440657,2
108,12,1,4,5,4,3,4,4.5,3.5,1,2,4,4,3,5,4,4,3,4,4,4,"Design-Bid-Build",0.777844993887029,0.222155006112971,1
