"Owner_Type","PDM_Selected","PDM_Experience_DBB","PDM_Experience_DB","PDM_Experience_PDB","PDM_Experience_CMAR","PDM_Experience_IPD","ORG_Employees","ORG_Locations","ORG_Departments","ORG_Layers","DIST_Athority_Dispersion","DIST_Athority_Delegation","DIST_Process_InformalCommunication","DIST_Process_InformalProcedure","STY_DataDriven","STY_Participation_Inclusion","STY_Participation_Relational","STY_Adaptive_Informal","STY_Adaptive_Changeable","STY_Authoritative_Threats","STY_Authoritative_Compliance","CUL_Command","CUL_Symbolic","CUL_Formal","CUL_Experimental","CUL_Learning","FLEX_OpenToNewIdeas","FLEX_OpenToChanges","RISK_Tolerance","ENV_SustainedGrowth","ENV_HighriskIndustry","ENV_IndustryStability"
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,4,1,3,1,4,3,5,4,3,4,3,4,4,4,4,4,3,4,2,4,3,2,4,2,2,4,2,4
"Public/Government Sector/Quasi-public","Construction Manager @ Risk",4,3,3,4,3,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Private Sector (for profit and nonprofit)","Design-Build",4,4,2,3,2,10,30,6,3,3,2,2,1,2,2,3,2,2,1,1,2,2,4,1,2,1,2,2,4,2,5
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,1,1,1,1,3,1,2,2,4,4,2,5,4,4,5,4,4,3,1,3,2,2,4,5,4,3,5,5,1,3
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,2,1,5,1,10,3,4,5,5,5,4,3,5,5,4,1,1,3,5,3,5,5,5,5,3,5,1,4
"Private Sector (for profit and nonprofit)","Construction Manager @ Risk",4,4,3,4,2,6,2,4,3,3,3,4,4,3,4,2,4,2,2,4,4,2,4,3,2,2,4,2,3,2,4
"Public/Government Sector/Quasi-public","Design-Build",4,3,2,2,2,3,1,2,2,4,4,3,3,4,5,5,4,5,4,4,4,3,3,4,4,5,4,4,4,2,4
"Private Sector (for profit and nonprofit)","Design-Bid-Build",4,3,3,3,2,25,2,3,3,2,2,3,4,3,2,3,2,2,4,2,4,2,2,3,4,2,2,3,4,3,3
"Public/Government Sector/Quasi-public","Progressive Design-Build",2,4,3,4,2,30,1,3,5,2,4,4,4,1,2,1,4,1,4,4,2,2,2,1,1,1,1,1,2,4,2
"Private Sector (for profit and nonprofit)","Design-Build",4,3,1,1,1,10,1,6,3,4,2,2,5,4,4,4,4,5,1,4,4,4,4,4,4,4,3,3,5,1,5
"Public/Government Sector/Quasi-public","Design-Build",4,3,2,3,2,16,1,1,3,3,2,2,2,4,3,4,4,4,5,5,5,3,4,4,3,4,1,1,1,1,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,3,1,10,2,5,3,4,3,4,4,3,4,4,4,4,1,4,3,4,4,4,4,4,3,3,3,1,4
"Public/Government Sector/Quasi-public","Design-Build",4,3,1,3,1,5,2,3,2,4,3,3,3,3,4,4,4,3,2,2,2,4,4,4,5,4,4,3,4,1,4
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,3,3,3,3,10,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3
"Private Sector (for profit and nonprofit)","Progressive Design-Build",4,3,3,3,2,50,2,4,2,4,4,4,4,5,5,5,5,5,4,4,5,5,4,3,4,5,4,4,4,3,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,2,4,2,20,2,3,5,4,2,3,3,4,4,3,4,2,3,3,4,2,2,2,2,3,2,3,4,2,4
"Private Sector (for profit and nonprofit)","Design-Build",4,4,2,1,1,10,5,5,3,3,2,2,3,4,2,2,3,3,3,3,4,3,3,2,3,2,2,4,2,2,2
"Public/Government Sector/Quasi-public","Progressive Design-Build",4,4,4,2,2,20,2,5,3,4,3,2,2,3,4,3,3,2,2,4,3,3,3,4,3,3,2,2,4,2,2
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,3,2,1,1,8,5,6,2,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,2,3,3,4
"Private Sector (for profit and nonprofit)","Design-Bid-Build",4,3,1,1,1,15,3,4,3,4,4,5,3,2,1,1,3,2,1,2,4,3,2,2,1,2,1,1,5,5,1
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,3,2,2,2,4,2,4,2,4,5,4,4,3,4,4,4,3,3,2,4,4,4,4,5,3,3,3,3,2,3
"Public/Government Sector/Quasi-public","Design-Bid-Build",3,3,2,3,3,10,1,4,2,5,4,4,4,3,5,4,4,3,3,3,5,4,5,4,4,5,4,4,5,5,5
"Public/Government Sector/Quasi-public","Design-Build",4,3,1,1,1,9,1,3,2,4,3,3,4,4,4,4,4,4,2,2,3,4,2,4,4,5,4,3,3,3,3
"Public/Government Sector/Quasi-public","Design-Build",4,4,1,4,1,20,3,15,4,4,3,3,3,3,4,3,3,3,4,4,2,2,3,3,4,4,4,4,3,4,1
"Private Sector (for profit and nonprofit)","Design-Build",4,4,3,4,1,5,3,3,3,3,3,4,4,4,4,4,3,4,1,1,3,4,5,3,4,5,4,4,4,1,2
"Public/Government Sector/Quasi-public","Design-Build",4,4,4,4,4,5,1,2,2,4,3,4,4,4,4,5,4,4,3,4,4,4,3,3,4,4,4,2,4,2,4
"Private Sector (for profit and nonprofit)","Design-Bid-Build",4,4,3,2,1,20,1,3,4,1,2,4,4,1,2,2,4,2,4,4,4,2,2,1,2,2,1,2,4,4,4
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,3,1,3,2,5,3,4,3,4,2,2,2,5,4,5,4,4,2,2,3,4,4,2,4,2,2,2,3,3,5
"Public/Government Sector/Quasi-public","Progressive Design-Build",3,2,3,2,1,20,2,3,3,4,4,3,3,4,4,4,4,4,1,1,4,4,3,4,4,3,2,4,4,2,4
"Private Sector (for profit and nonprofit)","Design-Build",4,3,2,4,2,10,1,2,2,4,4,3,3,5,4,4,4,5,2,2,4,4,4,3,4,4,2,1,4,2,4
"Public/Government Sector/Quasi-public","Design-Build",3,3,2,2,1,20,1,8,3,4,1,2,2,3,2,4,2,2,3,3,4,2,5,1,4,2,4,2,2,1,3
"Private Sector (for profit and nonprofit)","Design-Build",4,4,4,4,1,40,2,5,3,4,4,5,5,2,4,3,3,4,1,1,4,4,4,4,4,4,4,4,3,1,5
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,3,2,2,2,25,1,6,4,3,4,3,3,3,4,4,4,4,2,3,4,4,3,3,3,2,2,2,3,4,4
"Public/Government Sector/Quasi-public","Design-Build",4,3,3,2,3,20,1,8,6,3,4,3,3,3,4,3,3,2,3,1,4,4,4,4,4,4,2,2,2,4,3
"Private Sector (for profit and nonprofit)","Design-Build",4,4,2,2,1,40,2,3,3,2,1,2,1,2,2,4,4,2,2,3,4,2,2,3,4,2,2,2,3,2,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,3,3,3,40,3,5,5,2,1,4,4,2,2,3,4,4,4,3,5,4,4,3,4,3,2,4,2,2,3
"Public/Government Sector/Quasi-public","Design-Bid-Build",4,4,3,3,2,12,1,4,5,5,3,4,2,4,4,5,3,4,1,1,2,4,4,3,5,4,4,3,4,4,4
"Public/Government Sector/Quasi-public","Design-Build",4,4,3,2,2,100,25,1,5,3,2,2,2,3,3,4,4,4,4,5,5,5,4,3,4,5,5,4,3,1,5
