"Org_Structure_Employees","Org_Structure_Locations","Org_Structure_Depts","Org_Structure_Layers","Distribution_Centralization1","Distribution_Centralization2","Distribution_Formalization1","Distribution_Formalization2","Style_Technocracy","Style_Participation1","Style_Participation2","Style_Organicity1","Style_Organicity2","Style_Coercion1","Style_Coercion2","Culture_Command","Culture_Symbolic","Culture_Rationale","Culture_Generative","Culture_Transactive","Flexibility_openness","Flexibility_Recursiveness","Risk","Environment_Growth","Environment_Hostile","Environment_Stable","PDM_Type"
20,1,6,4,4,4,3,3,3,3,2,2,2,3,3,3,4,4,4,4,5,5,3,4,2,4,"Design-Build"
10,1,3,3,4,4,4,4,3,4,4,4,4,1,4,5,2,4,3,4,5,5,3,4,2,4,"Design-Bid-Build"
10,1,3,4,5,4,3,3,3,4,5,4,4,5,4,4,5,4,3,4,4,4,3,4,2,4,"Construction Manager @ Risk"
20,2,5,4,4,4,4,3,2,4,3,3,4,1,1,2,4,3,4,4,4,4,3,4,2,4,"Construction Manager @ Risk"
35,1,12,2,3,4,4,5,2,5,4,4,3,2,1,4,3,3,4,4,4,4,3,4,2,4,"Construction Manager @ Risk"
25,1,3,1,5,4,4,2,4,3,4,4,4,1,1,4,5,5,4,5,5,4,4,5,1,5,"Design-Build"
2,1,2,2,2,2,2,3,1,1,2,3,3,5,5,1,2,3,2,2,4,4,3,4,2,4,"Design-Build"
9,2,5,4,4,4,4,3,4,3,4,4,3,3,3,2,4,4,3,4,4,3,2,4,2,4,"Design-Build"
3,3,4,4,5,3,3,5,4,3,5,5,4,5,4,4,4,5,5,5,3,2,5,5,4,3,"Design-Bid-Build"
20,1,6,4,2,2,4,4,2,3,3,2,2,3,3,4,2,2,2,2,1,1,2,4,3,3,"Design-Build"
20,9,17,3,4,3,4,2,3,4,2,3,5,4,4,4,4,5,2,2,4,4,4,2,3,2,"Design-Build"
100,4,12,4,4,4,4,4,2,4,4,4,2,3,2,2,2,2,2,4,4,3,2,3,2,3,"Design-Build"
3,1,10,3,1,1,1,1,3,3,2,4,4,4,4,5,4,4,1,1,1,1,2,4,2,4,"Construction Manager @ Risk"
6,2,5,2,4,4,2,2,4,4,3,4,4,2,3,3,3,4,4,4,4,3,3,4,3,4,"Construction Manager @ Risk"
10,1,5,5,4,4,4,4,3,5,4,3,4,2,1,4,4,4,4,4,4,4,3,4,2,4,"Design-Build"
30,2,3,3,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Design-Bid-Build"
3700,125,1,2,1,1,1,1,1,1,1,4,1,5,5,5,1,5,1,1,1,1,1,3,5,4,"Design-Build"
5,2,4,3,4,3,4,4,2,3,5,4,4,2,2,3,4,4,2,4,4,4,3,4,2,4,"Progressive Design-Build"
20,1,3,1,2,4,2,2,2,4,4,4,3,1,2,4,4,4,4,4,5,4,3,5,3,3,"Design-Bid-Build"
100,1,5,2,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,3,4,2,"Design-Build"
2,1,2,3,1,1,3,3,3,2,2,4,2,1,2,3,2,2,3,4,3,4,1,2,2,2,"Design-Bid-Build"
6,2,5,1,5,4,5,5,5,5,5,5,4,1,4,4,5,4,4,5,5,3,4,5,2,5,"Design-Build"
5,2,3,2,3,2,4,4,2,3,3,4,4,2,2,4,3,3,3,4,4,3,3,4,3,2,"Design-Bid-Build"
8,2,2,2,4,4,4,4,4,4,4,4,5,2,2,2,4,4,5,5,4,3,2,4,4,3,"Design-Build"
3,1,4,3,5,4,3,4,3,4,4,4,4,4,3,4,2,4,3,2,4,2,2,4,2,4,"Design-Build"
6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Construction Manager @ Risk"
10,30,6,3,3,2,2,1,2,2,3,2,2,1,1,2,2,4,1,2,1,2,2,4,2,5,"Design-Build"
3,1,2,2,4,4,2,5,4,4,5,4,4,3,1,3,2,2,4,5,4,3,5,5,1,3,"Design-Bid-Build"
5,1,10,3,4,5,5,5,4,3,5,5,4,1,1,3,5,3,5,5,5,5,3,5,1,4,"Design-Build"
6,2,4,3,3,3,4,4,3,4,2,4,2,2,4,4,2,4,3,2,2,4,2,3,2,4,"Construction Manager @ Risk"
3,1,2,2,4,4,3,3,4,5,5,4,5,4,4,4,3,3,4,4,5,4,4,4,2,4,"Design-Build"
25,2,3,3,2,2,3,4,3,2,3,2,2,4,2,4,2,2,3,4,2,2,3,4,3,3,"Design-Bid-Build"
30,1,3,5,2,4,4,4,1,2,1,4,1,4,4,2,2,2,1,1,1,1,1,2,4,2,"Progressive Design-Build"
10,1,6,3,4,2,2,5,4,4,4,4,5,1,4,4,4,4,4,4,4,3,3,5,1,5,"Design-Build"
16,1,1,3,3,2,2,2,4,3,4,4,4,5,5,5,3,4,4,3,4,1,1,1,1,4,"Design-Build"
